"Env"	"GG"	"Y"	"tj"	"xj"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"	"residFA"
"2004-2005-Bhanga"	"Short-BR1"	"2004-2005"	2004	1970	"Bhanga"	"BR1"	"Short"	6.66666666666667	6.66666666666667	0.161453658833138	0.0260672839506074	38.3622628999174	0.0187461369826902
"2004-2005-Comilla"	"Short-BR1"	"2004-2005"	2004	1970	"Comilla"	"BR1"	"Short"	5.89	5.89	0.248496495652324	0.0617505083514855	16.1941986664786	-0.00859320260189111
"2004-2005-Gazipur"	"Short-BR1"	"2004-2005"	2004	1970	"Gazipur"	"BR1"	"Short"	4.3	4.3	0.227098540895112	0.0515737472766889	19.3897099358533	0.00636830515104148
"2004-2005-Habiganj"	"Short-BR1"	"2004-2005"	2004	1970	"Habiganj"	"BR1"	"Short"	4.68666666666667	4.68666666666667	0.20023669726353	0.0400947349310067	24.9409305665883	-0.055093563724097
"2004-2005-Kustia"	"Short-BR1"	"2004-2005"	2004	1970	"Kustia"	"BR1"	"Short"	6	6	0.0878815470024954	0.00772316630355181	129.480573212584	0.00656707126081191
"2004-2005-Rajshahi"	"Short-BR1"	"2004-2005"	2004	1970	"Rajshahi"	"BR1"	"Short"	5.68666666666667	5.68666666666667	0.271056929655026	0.0734718591140098	13.6106532767635	0.151284810964303
"2004-2005-Rangpur"	"Short-BR1"	"2004-2005"	2004	1970	"Rangpur"	"BR1"	"Short"	5.21333333333333	5.21333333333333	0.183542859077602	0.0336879811183805	29.6841771694769	0.0663593059880716
"2004-2005-Satkhira"	"Short-BR1"	"2004-2005"	2004	1970	"Satkhira"	"BR1"	"Short"	5.43	5.43	0.0492134945565758	0.00242196804647011	412.88736300937	-0.00121260158851122
"2005-2006-Barisal"	"Short-BR1"	"2005-2006"	2005	1970	"Barisal"	"BR1"	"Short"	5.64666666666667	5.64666666666667	0.302191463255966	0.0913196804647816	10.9505420399019	-0.0661361026688381
"2005-2006-Bhanga"	"Short-BR1"	"2005-2006"	2005	1970	"Bhanga"	"BR1"	"Short"	5.29	5.29	0.327794671105593	0.107449346405224	9.30671086847468	-0.168946021019356
"2005-2006-Comilla"	"Short-BR1"	"2005-2006"	2005	1970	"Comilla"	"BR1"	"Short"	6.47666666666667	6.47666666666667	0.122112398668185	0.0149114379084978	67.0626136886583	0.0443220080487841
"2005-2006-Gazipur"	"Short-BR1"	"2005-2006"	2005	1970	"Gazipur"	"BR1"	"Short"	5.68333333333333	5.68333333333333	0.219142631865539	0.0480234931009552	20.8231416631397	0.0285693230333717
"2005-2006-Habiganj"	"Short-BR1"	"2005-2006"	2005	1970	"Habiganj"	"BR1"	"Short"	6.46666666666667	6.46666666666667	0.318481498330009	0.101430464778527	9.85897089383837	0.0381375337131287
"2005-2006-Kustia"	"Short-BR1"	"2005-2006"	2005	1970	"Kustia"	"BR1"	"Short"	7.10333333333333	7.10333333333333	0.151309342296115	0.0228945170660828	43.678580208248	0.047934239533042
"2005-2006-Rajshahi"	"Short-BR1"	"2005-2006"	2005	1970	"Rajshahi"	"BR1"	"Short"	3.35666666666667	3.35666666666667	0.242186766608177	0.0586544299201236	17.0490106435578	-0.391814304986238
"2005-2006-Rangpur"	"Short-BR1"	"2005-2006"	2005	1970	"Rangpur"	"BR1"	"Short"	2.40666666666667	2.40666666666667	0.327893798011106	0.107514342774148	9.30108461994386	-0.471346764237483
"2005-2006-Satkhira"	"Short-BR1"	"2005-2006"	2005	1970	"Satkhira"	"BR1"	"Short"	5.72333333333333	5.72333333333333	0.159965160513332	0.0255888525780561	39.079517026002	-0.00519780989409302
"2006-2007-Barisal"	"Short-BR1"	"2006-2007"	2006	1970	"Barisal"	"BR1"	"Short"	6.16333333333333	6.16333333333333	0.0714861273728107	0.00511026640676171	195.68451434877	0.0156207292930084
"2006-2007-Bhanga"	"Short-BR1"	"2006-2007"	2006	1970	"Bhanga"	"BR1"	"Short"	6.44333333333333	6.44333333333333	0.114336376615391	0.0130728070175365	76.494665503633	-0.00160649955154302
"2006-2007-Comilla"	"Short-BR1"	"2006-2007"	2006	1970	"Comilla"	"BR1"	"Short"	6.36666666666667	6.36666666666667	0.1100686477271	0.0121151072124723	82.541572473293	0.0281052096546608
"2006-2007-Gazipur"	"Short-BR1"	"2006-2007"	2006	1970	"Gazipur"	"BR1"	"Short"	5.09666666666667	5.09666666666667	0.208307754421024	0.0433921205519298	23.0456586882691	0.0387776196344092
"2006-2007-Habiganj"	"Short-BR1"	"2006-2007"	2006	1970	"Habiganj"	"BR1"	"Short"	4.19666666666667	4.19666666666667	0.213833326116459	0.045724691358028	21.8700218700203	-0.21669052878219
"2006-2007-Kustia"	"Short-BR1"	"2006-2007"	2006	1970	"Kustia"	"BR1"	"Short"	8.2	8.2	0.272038725600079	0.0740050682261153	13.5125880425459	0.21202596659482
"2006-2007-Rajshahi"	"Short-BR1"	"2006-2007"	2006	1970	"Rajshahi"	"BR1"	"Short"	5.06666666666667	5.06666666666667	0.358730343557967	0.128687459389217	7.77076495834367	0.0975007562838464
"2006-2007-Rangpur"	"Short-BR1"	"2006-2007"	2006	1970	"Rangpur"	"BR1"	"Short"	5.43	5.43	0.101531322687506	0.0103086094866744	97.0062937482172	0.0203513063055301
"2006-2007-Satkhira"	"Short-BR1"	"2006-2007"	2006	1970	"Satkhira"	"BR1"	"Short"	5.51666666666667	5.51666666666667	0.0978925097737054	0.00958294346979501	104.352071276634	-0.0170883688109678
"2007-2008-Barisal"	"Short-BR1"	"2007-2008"	2007	1970	"Barisal"	"BR1"	"Short"	5.90333333333333	5.90333333333334	0.225628355145955	0.0509081546458691	19.6432183990221	0.0608878481459803
"2007-2008-Bhanga"	"Short-BR1"	"2007-2008"	2007	1970	"Bhanga"	"BR1"	"Short"	5.7	5.7	0.113287027577184	0.0128339506172736	77.9183300467174	-0.00154692818376656
"2007-2008-Comilla"	"Short-BR1"	"2007-2008"	2007	1970	"Comilla"	"BR1"	"Short"	6.40333333333333	6.40333333333333	0.125518159312143	0.0157548083171084	63.4726859173579	-0.0234912910881349
"2007-2008-Gazipur"	"Short-BR1"	"2007-2008"	2007	1970	"Gazipur"	"BR1"	"Short"	4.76666666666667	4.76666666666667	0.229593398543994	0.052713128654981	18.9706060997673	-0.00691107548954673
"2007-2008-Habiganj"	"Short-BR1"	"2007-2008"	2007	1970	"Habiganj"	"BR1"	"Short"	4.19666666666667	4.19666666666667	0.213833326116459	0.045724691358028	21.8700218700203	-0.208853948150733
"2007-2008-Kustia"	"Short-BR1"	"2007-2008"	2007	1970	"Kustia"	"BR1"	"Short"	6.67666666666667	6.67666666666667	0.0714488507367363	0.00510493827160043	195.888754534635	0.0102377429488945
"2007-2008-Rajshahi"	"Short-BR1"	"2007-2008"	2007	1970	"Rajshahi"	"BR1"	"Short"	4.8	4.8	0.195046519833815	0.0380431448992826	26.2859446201793	0.0443604202273704
"2007-2008-Rangpur"	"Short-BR1"	"2007-2008"	2007	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.155756125915591	0.0242599707602334	41.2201650976095	-0.0046528131884549
"2007-2008-Satkhira"	"Short-BR1"	"2007-2008"	2007	1970	"Satkhira"	"BR1"	"Short"	6.83333333333333	6.83333333333333	0.513208637800389	0.263383105912931	3.79675073134942	0.221909289830321
"2008-2009-Barisal"	"Short-BR1"	"2008-2009"	2008	1970	"Barisal"	"BR1"	"Short"	5.36333333333333	5.36333333333333	0.167202355486745	0.0279566276803159	35.7696933777207	0.00341889704773291
"2008-2009-Bhanga"	"Short-BR1"	"2008-2009"	2008	1970	"Bhanga"	"BR1"	"Short"	6.07333333333333	6.07333333333333	0.0835097547733508	0.00697387914230519	143.392218246767	-0.000527556351796576
"2008-2009-Comilla"	"Short-BR1"	"2008-2009"	2008	1970	"Comilla"	"BR1"	"Short"	5.03666666666667	5.03666666666667	0.196294622818295	0.0385315789473766	25.9527386968938	-0.0625370005096721
"2008-2009-Gazipur"	"Short-BR1"	"2008-2009"	2008	1970	"Gazipur"	"BR1"	"Short"	4.9	4.9	0.239313589568272	0.0572709941520513	17.4608458401308	0.0119742189723659
"2008-2009-Habiganj"	"Short-BR1"	"2008-2009"	2008	1970	"Habiganj"	"BR1"	"Short"	6.46666666666667	6.46666666666667	0.0984083864633341	0.00968421052631692	103.260869565205	-0.00493841490697289
"2008-2009-Kustia"	"Short-BR1"	"2008-2009"	2008	1970	"Kustia"	"BR1"	"Short"	7.21666666666667	7.21666666666667	0.235293955753304	0.0553632456140376	18.0625248557763	0.00814667559655469
"2008-2009-Rajshahi"	"Short-BR1"	"2008-2009"	2008	1970	"Rajshahi"	"BR1"	"Short"	4.52666666666667	4.52666666666667	0.334375082663821	0.111806695906437	8.94400815526138	0.109741639832603
"2008-2009-Rangpur"	"Short-BR1"	"2008-2009"	2008	1970	"Rangpur"	"BR1"	"Short"	2.6	2.6	0.126417884341895	0.0159814814814809	62.5724217844752	-0.000885112134899391
"2008-2009-Satkhira"	"Short-BR1"	"2008-2009"	2008	1970	"Satkhira"	"BR1"	"Short"	6.17666666666667	6.17666666666667	0.310528223802259	0.0964277777777858	10.3704557239146	0.00381718256826424
"2009-2010-Barisal"	"Short-BR1"	"2009-2010"	2009	1970	"Barisal"	"BR1"	"Short"	4.81666666666667	4.81666666666667	0.263906348628747	0.069646560846558	14.3582107694184	-0.0556569062183838
"2009-2010-Bhanga"	"Short-BR1"	"2009-2010"	2009	1970	"Bhanga"	"BR1"	"Short"	5.97	5.97	0.212419154823519	0.0451218973359379	22.1621886277272	-0.0103298084132248
"2009-2010-Comilla"	"Short-BR1"	"2009-2010"	2009	1970	"Comilla"	"BR1"	"Short"	5.77	5.77	0.0904396883672715	0.00817933723196918	122.259294566248	-0.00443791795145643
"2009-2010-Gazipur"	"Short-BR1"	"2009-2010"	2009	1970	"Gazipur"	"BR1"	"Short"	3.80333333333333	3.80333333333333	0.27883426075994	0.0777485449735424	12.8619770355869	-0.0473304570931856
"2009-2010-Habiganj"	"Short-BR1"	"2009-2010"	2009	1970	"Habiganj"	"BR1"	"Short"	6.01666666666667	6.01666666666666	0.0700528900717596	0.00490740740740604	203.773584905717	0.00184085888532159
"2009-2010-Kustia"	"Short-BR1"	"2009-2010"	2009	1970	"Kustia"	"BR1"	"Short"	5.95333333333333	5.95333333333333	0.127815999877006	0.0163369298245589	61.211011538822	-0.00181946261208221
"2009-2010-Rajshahi"	"Short-BR1"	"2009-2010"	2009	1970	"Rajshahi"	"BR1"	"Short"	4.66	4.66	0.229875238077585	0.0528426250812262	18.9241166286282	0.0586438387744179
"2009-2010-Rangpur"	"Short-BR1"	"2009-2010"	2009	1970	"Rangpur"	"BR1"	"Short"	2.53333333333333	2.53333333333333	0.255884036648714	0.0654766402116403	15.2726223698665	-0.25732133389875
"2009-2010-Satkhira"	"Short-BR1"	"2009-2010"	2009	1970	"Satkhira"	"BR1"	"Short"	5.75666666666667	5.75666666666667	0.265448423421698	0.0704628654970653	14.1918724557355	-0.0212253896374586
"2010-2011-Barisal"	"Short-BR1"	"2010-2011"	2010	1970	"Barisal"	"BR1"	"Short"	5.26333333333333	5.26333333333333	0.277057622031829	0.0767609259259316	13.0274614061446	0.1033401061027
"2010-2011-Bhanga"	"Short-BR1"	"2010-2011"	2010	1970	"Bhanga"	"BR1"	"Short"	5.87	5.87	0.403600233087322	0.16289314814814	6.13899363704707	-0.0370807896627179
"2010-2011-Comilla"	"Short-BR1"	"2010-2011"	2010	1970	"Comilla"	"BR1"	"Short"	5.59	5.59	0.0749648947823642	0.00561973544973094	177.944319433734	-0.000297698290887993
"2010-2011-Gazipur"	"Short-BR1"	"2010-2011"	2010	1970	"Gazipur"	"BR1"	"Short"	2.68333333333333	2.68333333333333	0.452831801237101	0.205056640211638	4.87670137854549	-0.129847947884713
"2010-2011-Habiganj"	"Short-BR1"	"2010-2011"	2010	1970	"Habiganj"	"BR1"	"Short"	5.56666666666667	5.56666666666667	0.116416966344714	0.0135529100529063	73.7848916650602	0.0184875003934133
"2010-2011-Kustia"	"Short-BR1"	"2010-2011"	2010	1970	"Kustia"	"BR1"	"Short"	4.68333333333333	4.68333333333333	0.0652940033870905	0.00426330687831339	234.55970413174	-0.00189895532069784
"2010-2011-Rajshahi"	"Short-BR1"	"2010-2011"	2010	1970	"Rajshahi"	"BR1"	"Short"	5.62	5.62	0.218481379207548	0.0477341130604323	20.9493784609338	0.0666180820609572
"2010-2011-Rangpur"	"Short-BR1"	"2010-2011"	2010	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.119805287355388	0.014353306878307	69.6703560007736	0.000657446684501739
"2010-2011-Satkhira"	"Short-BR1"	"2010-2011"	2010	1970	"Satkhira"	"BR1"	"Short"	5.33666666666667	5.33666666666667	0.351209926822144	0.123348412698416	8.10711689047008	-0.0868578951578343
"2010-2011-Sonagazi"	"Short-BR1"	"2010-2011"	2010	1970	"Sonagazi"	"BR1"	"Short"	5.2	5.2	0.191871870827438	0.036814814814821	27.1629778671986	-0.0315212918735241
"2011-2012-Barisal"	"Short-BR1"	"2011-2012"	2011	1970	"Barisal"	"BR1"	"Short"	5.26333333333333	5.26333333333333	0.277057622031829	0.0767609259259316	13.0274614061446	0.0975286129560695
"2011-2012-Bhanga"	"Short-BR1"	"2011-2012"	2011	1970	"Bhanga"	"BR1"	"Short"	5.87	5.87	0.403600233087322	0.16289314814814	6.13899363704707	-0.0472090863971832
"2011-2012-Comilla"	"Short-BR1"	"2011-2012"	2011	1970	"Comilla"	"BR1"	"Short"	5.30333333333333	5.30333333333333	0.125025605843028	0.0156314021164161	63.97378767128	0.00449975601051289
"2011-2012-Gazipur"	"Short-BR1"	"2011-2012"	2011	1970	"Gazipur"	"BR1"	"Short"	5.20333333333333	5.20333333333333	0.187925320076699	0.0353159259259297	28.3158369427256	0.00678538923412031
"2011-2012-Habiganj"	"Short-BR1"	"2011-2012"	2011	1970	"Habiganj"	"BR1"	"Short"	5.56666666666667	5.56666666666667	0.116416966344714	0.0135529100529063	73.7848916650602	0.0172561423887334
"2011-2012-Kustia"	"Short-BR1"	"2011-2012"	2011	1970	"Kustia"	"BR1"	"Short"	4.68333333333333	4.68333333333333	0.0652940033870905	0.00426330687831339	234.55970413174	-0.0022982920699004
"2011-2012-Rajshahi"	"Short-BR1"	"2011-2012"	2011	1970	"Rajshahi"	"BR1"	"Short"	6.57666666666667	6.57666666666667	0.379846425385708	0.1442833068783	6.93080870986329	0.186518329361231
"2011-2012-Rangpur"	"Short-BR1"	"2011-2012"	2011	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.235463238124209	0.0554429365079378	18.0365626892225	-0.00975473284967121
"2011-2012-Satkhira"	"Short-BR1"	"2011-2012"	2011	1970	"Satkhira"	"BR1"	"Short"	6.41666666666667	6.41666666666667	0.0939814515078146	0.00883251322751571	113.21805857983	0.0115980997145426
"2011-2012-Sonagazi"	"Short-BR1"	"2011-2012"	2011	1970	"Sonagazi"	"BR1"	"Short"	5.2	5.2	0.191871870827438	0.036814814814821	27.1629778671986	-0.0346342571727032
"2012-2013-Barisal"	"Short-BR1"	"2012-2013"	2012	1970	"Barisal"	"BR1"	"Short"	5.29	5.29	0.214560657627369	0.046036275801489	21.7220003701441	0.0636928263493273
"2012-2013-Bhanga"	"Short-BR1"	"2012-2013"	2012	1970	"Bhanga"	"BR1"	"Short"	6.84	6.84	0.387689885757495	0.15030344751866	6.65320733828048	0.0490985952798537
"2012-2013-Comilla"	"Short-BR1"	"2012-2013"	2012	1970	"Comilla"	"BR1"	"Short"	5.5	5.5	0.104300643999111	0.0108786243386292	91.9233874497411	0.00648930140261861
"2012-2013-Gazipur"	"Short-BR1"	"2012-2013"	2012	1970	"Gazipur"	"BR1"	"Short"	6.36333333333333	6.36333333333333	0.357822214143497	0.128036736934554	7.81025839881523	0.249276393245585
"2012-2013-Habiganj"	"Short-BR1"	"2012-2013"	2012	1970	"Habiganj"	"BR1"	"Short"	5.86666666666667	5.86666666666667	0.083175883002435	0.00691822751323476	144.545694411896	0.0132360594734662
"2012-2013-Kustia"	"Short-BR1"	"2012-2013"	2012	1970	"Kustia"	"BR1"	"Short"	6.35666666666667	6.35666666666667	0.0761059578507512	0.00579211682038031	172.648451509364	0.00292544397705718
"2012-2013-Rajshahi"	"Short-BR1"	"2012-2013"	2012	1970	"Rajshahi"	"BR1"	"Short"	4.90666666666667	4.90666666666667	0.330920184701595	0.109508168642937	9.13173886836335	-0.0645753022314928
"2012-2013-Rangpur"	"Short-BR1"	"2012-2013"	2012	1970	"Rangpur"	"BR1"	"Short"	6.25	6.25	0.175155492749514	0.0306794466403251	32.5951120215317	0.129295139842248
"2012-2013-Satkhira"	"Short-BR1"	"2012-2013"	2012	1970	"Satkhira"	"BR1"	"Short"	6.8	6.8	0.133432110973701	0.0178041282388981	56.1667488900254	0.0233328069436194
"2012-2013-Sonagazi"	"Short-BR1"	"2012-2013"	2012	1970	"Sonagazi"	"BR1"	"Short"	4.01333333333333	4.01333333333333	0.698452426948109	0.487835792709703	2.04987008937057	-0.164257247665091
"2013-2014-Barisal"	"Short-BR1"	"2013-2014"	2013	1970	"Barisal"	"BR1"	"Short"	4.64666666666667	4.64666666666667	0.0917261811463272	0.00841369230768883	118.853882864976	-0.00274113613306959
"2013-2014-Bhanga"	"Short-BR1"	"2013-2014"	2013	1970	"Bhanga"	"BR1"	"Short"	5.76666666666667	5.76666666666667	0.0735660642685235	0.00541196581196052	184.775742261709	-0.00639133468876008
"2013-2014-Comilla"	"Short-BR1"	"2013-2014"	2013	1970	"Comilla"	"BR1"	"Short"	5.18	5.18	0.0732732854386909	0.00536897435897987	186.255313052008	-0.00159899017635468
"2013-2014-Gazipur"	"Short-BR1"	"2013-2014"	2013	1970	"Gazipur"	"BR1"	"Short"	6.70666666666667	6.70666666666667	0.24528249891402	0.0601635042735061	16.6213722434444	0.120591517366759
"2013-2014-Habiganj"	"Short-BR1"	"2013-2014"	2013	1970	"Habiganj"	"BR1"	"Short"	5.79666666666667	5.79666666666667	0.103272107585416	0.0106651282051338	93.7635235850836	0.0123005308390507
"2013-2014-Kustia"	"Short-BR1"	"2013-2014"	2013	1970	"Kustia"	"BR1"	"Short"	5.98666666666667	5.98666666666667	0.462568515026205	0.213969631093548	4.67356042485673	0.0103363097217475
"2013-2014-Rajshahi"	"Short-BR1"	"2013-2014"	2013	1970	"Rajshahi"	"BR1"	"Short"	5.07	5.07	0.219782409879192	0.0483043076923052	20.702087407399	0.242086068251041
"2013-2014-Rangpur"	"Short-BR1"	"2013-2014"	2013	1970	"Rangpur"	"BR1"	"Short"	5.66666666666667	5.66666666666667	0.24339830534071	0.0592427350427296	16.8797068413323	0.0363383048857875
"2013-2014-Satkhira"	"Short-BR1"	"2013-2014"	2013	1970	"Satkhira"	"BR1"	"Short"	6.02666666666667	6.02666666666667	0.140844643757716	0.0198372136752379	50.4103054174522	0.0160265297272462
"2013-2014-Sonagazi"	"Short-BR1"	"2013-2014"	2013	1970	"Sonagazi"	"BR1"	"Short"	5.20333333333333	5.20333333333333	0.107964966096709	0.0116564339042635	85.7895311905157	0.00182073335217137
"2014-2015-Barisal"	"Short-BR1"	"2014-2015"	2014	1970	"Barisal"	"BR1"	"Short"	4.11666666666667	4.11666666666667	0.0927519710939973	0.00860292814182171	116.239492358266	-0.0255625734435165
"2014-2015-Bhanga"	"Short-BR1"	"2014-2015"	2014	1970	"Bhanga"	"BR1"	"Short"	7.47333333333333	7.47333333333333	0.182357022268893	0.0332540835707777	30.0714947645936	0.0967738689986755
"2014-2015-Comilla"	"Short-BR1"	"2014-2015"	2014	1970	"Comilla"	"BR1"	"Short"	4.75	4.75	0.0864836624358532	0.0074794238683186	133.700137551477	-0.0183228452363062
"2014-2015-Gazipur"	"Short-BR1"	"2014-2015"	2014	1970	"Gazipur"	"BR1"	"Short"	6.4	6.4	0.254951206268758	0.0650001175778946	15.3845875555782	0.0206024753565828
"2014-2015-Habiganj"	"Short-BR1"	"2014-2015"	2014	1970	"Habiganj"	"BR1"	"Short"	5.80333333333333	5.80333333333333	0.105501560638909	0.0111305792972454	89.842583507534	0.015732857633532
"2014-2015-Kustia"	"Short-BR1"	"2014-2015"	2014	1970	"Kustia"	"BR1"	"Short"	5.61666666666667	5.61666666666667	0.339059620016796	0.114961425925934	8.6985699067813	-0.225709542450379
"2014-2015-Rajshahi"	"Short-BR1"	"2014-2015"	2014	1970	"Rajshahi"	"BR1"	"Short"	5.23	5.23	0.308255745993917	0.0950216049382666	10.5239224347945	0.00597104538630688
"2014-2015-Rangpur"	"Short-BR1"	"2014-2015"	2014	1970	"Rangpur"	"BR1"	"Short"	2.88333333333333	2.88333333333333	0.194373450613147	0.0377810383032613	26.468303808201	-0.0119237843668447
"2014-2015-Satkhira"	"Short-BR1"	"2014-2015"	2014	1970	"Satkhira"	"BR1"	"Short"	5.88	5.88	0.0921998222203474	0.00850080721746367	117.6358873244	-0.00311063647078136
"2014-2015-Sonagazi"	"Short-BR1"	"2014-2015"	2014	1970	"Sonagazi"	"BR1"	"Short"	5.19	5.19	0.0951401392186235	0.00905164609053906	110.477143051938	0.007080600108611
"2015-2016-Barisal"	"Short-BR1"	"2015-2016"	2015	1970	"Barisal"	"BR1"	"Short"	4.64666666666667	4.64666666666667	0.278782748369645	0.0777198207885329	12.8667306467534	-0.0325965179085195
"2015-2016-Bhanga"	"Short-BR1"	"2015-2016"	2015	1970	"Bhanga"	"BR1"	"Short"	6.76666666666667	6.76666666666667	0.386547395397856	0.149418888888866	6.69259427262756	0.18755225263342
"2015-2016-Comilla"	"Short-BR1"	"2015-2016"	2015	1970	"Comilla"	"BR1"	"Short"	5.16	5.16	0.440329747732719	0.19389028673836	5.15755593960941	-0.154854117566102
"2015-2016-Gazipur"	"Short-BR1"	"2015-2016"	2015	1970	"Gazipur"	"BR1"	"Short"	5.88666666666667	5.88666666666667	0.372158369315858	0.138501851851839	7.2201200679233	-0.154802591308867
"2015-2016-Habiganj"	"Short-BR1"	"2015-2016"	2015	1970	"Habiganj"	"BR1"	"Short"	6.23333333333333	6.23333333333333	0.289156892504162	0.0836117084826632	11.9600474400945	0.0892950359750131
"2015-2016-Kustia"	"Short-BR1"	"2015-2016"	2015	1970	"Kustia"	"BR1"	"Short"	6.60666666666667	6.60666666666667	0.277175655651861	0.0768263440860393	13.0163684332041	-0.0631471274545783
"2015-2016-Rajshahi"	"Short-BR1"	"2015-2016"	2015	1970	"Rajshahi"	"BR1"	"Short"	6.05	6.05	0.442226027072499	0.195563859020327	5.11341924325629	0.205506628385224
