"Env"	"GG"	"Y"	"tj"	"ri"	"L"	"G"	"Group"	"arimean"	"adjmean"	"se"	"ErrVar"	"w"	"residFA"
"2003-2004-Barisal"	"Short-BR1"	"2003-2004"	2003	1970	"Barisal"	"BR1"	"Short"	4.76333333333333	4.76333333333333	0.432998446095344	0.187487654320983	5.33368452243783	0.163499285487516
"2003-2004-Bhanga"	"Short-BR1"	"2003-2004"	2003	1970	"Bhanga"	"BR1"	"Short"	3.43	3.43	0.438643805153522	0.192408387799561	5.19727861886009	-0.661447369331445
"2003-2004-Comilla"	"Short-BR1"	"2003-2004"	2003	1970	"Comilla"	"BR1"	"Short"	4.25666666666667	4.25666666666667	0.216915392680404	0.047052287581694	21.2529517988634	-0.0674070222617225
"2003-2004-Gazipur"	"Short-BR1"	"2003-2004"	2003	1970	"Gazipur"	"BR1"	"Short"	2.43333333333333	2.43333333333333	0.270899547796538	0.0733865649963686	13.626472366563	-0.0974762848826245
"2003-2004-Habiganj"	"Short-BR1"	"2003-2004"	2003	1970	"Habiganj"	"BR1"	"Short"	3.88	3.88	0.258788375674349	0.0669714233841678	14.93174177087	-0.216550803292107
"2003-2004-Rajshahi"	"Short-BR1"	"2003-2004"	2003	1970	"Rajshahi"	"BR1"	"Short"	1.66333333333333	1.66333333333333	0.371865061305709	0.138283623819899	7.2315142775142	-0.465536789309574
"2003-2004-Rangpur"	"Short-BR1"	"2003-2004"	2003	1970	"Rangpur"	"BR1"	"Short"	4.26333333333333	4.26333333333333	0.233734404759005	0.0546317719680465	18.3043669274518	-0.0216593462035171
"2003-2004-Satkhira"	"Short-BR1"	"2003-2004"	2003	1970	"Satkhira"	"BR1"	"Short"	5.37	5.37	0.116453431025753	0.0135614015976699	73.7386908571322	0.00294059762869647
"2004-2005-Barisal"	"Short-BR1"	"2004-2005"	2004	1970	"Barisal"	"BR1"	"Short"	5.24	5.24	0.283980613962915	0.080644989106754	12.400026475002	-0.0933315918567006
"2004-2005-Bhanga"	"Short-BR1"	"2004-2005"	2004	1970	"Bhanga"	"BR1"	"Short"	6.66666666666667	6.66666666666667	0.161453658833138	0.0260672839506074	38.3622628999174	0.0590227284028639
"2004-2005-Comilla"	"Short-BR1"	"2004-2005"	2004	1970	"Comilla"	"BR1"	"Short"	5.89	5.89	0.248496495652324	0.0617505083514855	16.1941986664786	-0.0572426767748873
"2004-2005-Gazipur"	"Short-BR1"	"2004-2005"	2004	1970	"Gazipur"	"BR1"	"Short"	4.3	4.3	0.227098540895112	0.0515737472766889	19.3897099358533	0.00288772309522933
"2004-2005-Habiganj"	"Short-BR1"	"2004-2005"	2004	1970	"Habiganj"	"BR1"	"Short"	4.68666666666667	4.68666666666667	0.20023669726353	0.0400947349310067	24.9409305665883	-0.0806251689234347
"2004-2005-Kustia"	"Short-BR1"	"2004-2005"	2004	1970	"Kustia"	"BR1"	"Short"	6	6	0.0878815470024954	0.00772316630355181	129.480573212584	0.0112063192986849
"2004-2005-Rajshahi"	"Short-BR1"	"2004-2005"	2004	1970	"Rajshahi"	"BR1"	"Short"	5.68666666666667	5.68666666666667	0.271056929655026	0.0734718591140098	13.6106532767635	0.169452778243731
"2004-2005-Rangpur"	"Short-BR1"	"2004-2005"	2004	1970	"Rangpur"	"BR1"	"Short"	5.21333333333333	5.21333333333333	0.183542859077602	0.0336879811183805	29.6841771694769	0.0648315305568499
"2004-2005-Satkhira"	"Short-BR1"	"2004-2005"	2004	1970	"Satkhira"	"BR1"	"Short"	5.43	5.43	0.0492134945565758	0.00242196804647011	412.88736300937	-0.000863582501382076
"2005-2006-Barisal"	"Short-BR1"	"2005-2006"	2005	1970	"Barisal"	"BR1"	"Short"	5.64666666666667	5.64666666666667	0.302191463255966	0.0913196804647816	10.9505420399019	-0.081830992018471
"2005-2006-Bhanga"	"Short-BR1"	"2005-2006"	2005	1970	"Bhanga"	"BR1"	"Short"	5.29	5.29	0.327794671105593	0.107449346405224	9.30671086847468	-0.24472233114665
"2005-2006-Comilla"	"Short-BR1"	"2005-2006"	2005	1970	"Comilla"	"BR1"	"Short"	6.47666666666667	6.47666666666667	0.122112398668185	0.0149114379084978	67.0626136886583	0.0419802976458143
"2005-2006-Gazipur"	"Short-BR1"	"2005-2006"	2005	1970	"Gazipur"	"BR1"	"Short"	5.68333333333333	5.68333333333333	0.219142631865539	0.0480234931009552	20.8231416631397	0.00466862310990646
"2005-2006-Habiganj"	"Short-BR1"	"2005-2006"	2005	1970	"Habiganj"	"BR1"	"Short"	6.46666666666667	6.46666666666667	0.318481498330009	0.101430464778527	9.85897089383837	0.116940091578499
"2005-2006-Kustia"	"Short-BR1"	"2005-2006"	2005	1970	"Kustia"	"BR1"	"Short"	7.10333333333333	7.10333333333333	0.151309342296115	0.0228945170660828	43.678580208248	0.0516279535379649
"2005-2006-Rajshahi"	"Short-BR1"	"2005-2006"	2005	1970	"Rajshahi"	"BR1"	"Short"	3.35666666666667	3.35666666666667	0.242186766608177	0.0586544299201236	17.0490106435578	-0.360674293527595
"2005-2006-Rangpur"	"Short-BR1"	"2005-2006"	2005	1970	"Rangpur"	"BR1"	"Short"	2.40666666666667	2.40666666666667	0.327893798011106	0.107514342774148	9.30108461994386	-0.452763958723733
"2005-2006-Satkhira"	"Short-BR1"	"2005-2006"	2005	1970	"Satkhira"	"BR1"	"Short"	5.72333333333333	5.72333333333333	0.159965160513332	0.0255888525780561	39.079517026002	-0.0159365134968699
"2006-2007-Barisal"	"Short-BR1"	"2006-2007"	2006	1970	"Barisal"	"BR1"	"Short"	6.16333333333333	6.16333333333333	0.0714861273728107	0.00511026640676171	195.68451434877	0.0124243769859831
"2006-2007-Bhanga"	"Short-BR1"	"2006-2007"	2006	1970	"Bhanga"	"BR1"	"Short"	6.44333333333333	6.44333333333333	0.114336376615391	0.0130728070175365	76.494665503633	-0.0105424885382117
"2006-2007-Comilla"	"Short-BR1"	"2006-2007"	2006	1970	"Comilla"	"BR1"	"Short"	6.36666666666667	6.36666666666667	0.1100686477271	0.0121151072124723	82.541572473293	0.0287081346382516
"2006-2007-Gazipur"	"Short-BR1"	"2006-2007"	2006	1970	"Gazipur"	"BR1"	"Short"	5.09666666666667	5.09666666666667	0.208307754421024	0.0433921205519298	23.0456586882691	0.0377813879564384
"2006-2007-Habiganj"	"Short-BR1"	"2006-2007"	2006	1970	"Habiganj"	"BR1"	"Short"	4.19666666666667	4.19666666666667	0.213833326116459	0.045724691358028	21.8700218700203	-0.197559723888327
"2006-2007-Kustia"	"Short-BR1"	"2006-2007"	2006	1970	"Kustia"	"BR1"	"Short"	8.2	8.2	0.272038725600079	0.0740050682261153	13.5125880425459	0.141167846158833
"2006-2007-Rajshahi"	"Short-BR1"	"2006-2007"	2006	1970	"Rajshahi"	"BR1"	"Short"	5.06666666666667	5.06666666666667	0.358730343557967	0.128687459389217	7.77076495834367	0.0814122127222801
"2006-2007-Rangpur"	"Short-BR1"	"2006-2007"	2006	1970	"Rangpur"	"BR1"	"Short"	5.43	5.43	0.101531322687506	0.0103086094866744	97.0062937482172	0.0292135165532725
"2006-2007-Satkhira"	"Short-BR1"	"2006-2007"	2006	1970	"Satkhira"	"BR1"	"Short"	5.51666666666667	5.51666666666667	0.0978925097737054	0.00958294346979501	104.352071276634	-0.0132183552039971
"2007-2008-Barisal"	"Short-BR1"	"2007-2008"	2007	1970	"Barisal"	"BR1"	"Short"	5.90333333333333	5.90333333333334	0.225628355145955	0.0509081546458691	19.6432183990221	0.0512010831824252
"2007-2008-Bhanga"	"Short-BR1"	"2007-2008"	2007	1970	"Bhanga"	"BR1"	"Short"	5.7	5.7	0.113287027577184	0.0128339506172736	77.9183300467174	-0.00814302056804106
"2007-2008-Comilla"	"Short-BR1"	"2007-2008"	2007	1970	"Comilla"	"BR1"	"Short"	6.40333333333333	6.40333333333333	0.125518159312143	0.0157548083171084	63.4726859173579	-0.0406730773524249
"2007-2008-Gazipur"	"Short-BR1"	"2007-2008"	2007	1970	"Gazipur"	"BR1"	"Short"	4.76666666666667	4.76666666666667	0.229593398543994	0.052713128654981	18.9706060997673	0.000126089253649653
"2007-2008-Habiganj"	"Short-BR1"	"2007-2008"	2007	1970	"Habiganj"	"BR1"	"Short"	4.19666666666667	4.19666666666667	0.213833326116459	0.045724691358028	21.8700218700203	-0.188283829230206
"2007-2008-Kustia"	"Short-BR1"	"2007-2008"	2007	1970	"Kustia"	"BR1"	"Short"	6.67666666666667	6.67666666666667	0.0714488507367363	0.00510493827160043	195.888754534635	0.00766889151268746
"2007-2008-Rajshahi"	"Short-BR1"	"2007-2008"	2007	1970	"Rajshahi"	"BR1"	"Short"	4.8	4.8	0.195046519833815	0.0380431448992826	26.2859446201793	0.0529533434230034
"2007-2008-Rangpur"	"Short-BR1"	"2007-2008"	2007	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.155756125915591	0.0242599707602334	41.2201650976095	0.00313793741154011
"2007-2008-Satkhira"	"Short-BR1"	"2007-2008"	2007	1970	"Satkhira"	"BR1"	"Short"	6.83333333333333	6.83333333333333	0.513208637800389	0.263383105912931	3.79675073134942	0.314997638596374
"2008-2009-Barisal"	"Short-BR1"	"2008-2009"	2008	1970	"Barisal"	"BR1"	"Short"	5.36333333333333	5.36333333333333	0.167202355486745	0.0279566276803159	35.7696933777207	-0.0213281796401974
"2008-2009-Bhanga"	"Short-BR1"	"2008-2009"	2008	1970	"Bhanga"	"BR1"	"Short"	6.07333333333333	6.07333333333333	0.0835097547733508	0.00697387914230519	143.392218246767	-0.00450813863560118
"2008-2009-Comilla"	"Short-BR1"	"2008-2009"	2008	1970	"Comilla"	"BR1"	"Short"	5.03666666666667	5.03666666666667	0.196294622818295	0.0385315789473766	25.9527386968938	-0.0846801543738538
"2008-2009-Gazipur"	"Short-BR1"	"2008-2009"	2008	1970	"Gazipur"	"BR1"	"Short"	4.9	4.9	0.239313589568272	0.0572709941520513	17.4608458401308	0.0238200624560632
"2008-2009-Habiganj"	"Short-BR1"	"2008-2009"	2008	1970	"Habiganj"	"BR1"	"Short"	6.46666666666667	6.46666666666667	0.0984083864633341	0.00968421052631692	103.260869565205	-0.0120969244328064
"2008-2009-Kustia"	"Short-BR1"	"2008-2009"	2008	1970	"Kustia"	"BR1"	"Short"	7.21666666666667	7.21666666666667	0.235293955753304	0.0553632456140376	18.0625248557763	-0.0221289773102598
"2008-2009-Rajshahi"	"Short-BR1"	"2008-2009"	2008	1970	"Rajshahi"	"BR1"	"Short"	4.52666666666667	4.52666666666667	0.334375082663821	0.111806695906437	8.94400815526138	0.199585593567464
"2008-2009-Rangpur"	"Short-BR1"	"2008-2009"	2008	1970	"Rangpur"	"BR1"	"Short"	2.6	2.6	0.126417884341895	0.0159814814814809	62.5724217844752	0.00121086200857912
"2008-2009-Satkhira"	"Short-BR1"	"2008-2009"	2008	1970	"Satkhira"	"BR1"	"Short"	6.17666666666667	6.17666666666667	0.310528223802259	0.0964277777777858	10.3704557239146	0.0731605115942964
"2009-2010-Barisal"	"Short-BR1"	"2009-2010"	2009	1970	"Barisal"	"BR1"	"Short"	4.81666666666667	4.81666666666667	0.263906348628747	0.069646560846558	14.3582107694184	-0.120746501426049
"2009-2010-Bhanga"	"Short-BR1"	"2009-2010"	2009	1970	"Bhanga"	"BR1"	"Short"	5.97	5.97	0.212419154823519	0.0451218973359379	22.1621886277272	-0.0357407429582111
"2009-2010-Comilla"	"Short-BR1"	"2009-2010"	2009	1970	"Comilla"	"BR1"	"Short"	5.77	5.77	0.0904396883672715	0.00817933723196918	122.259294566248	-0.0027265372285008
"2009-2010-Gazipur"	"Short-BR1"	"2009-2010"	2009	1970	"Gazipur"	"BR1"	"Short"	3.80333333333333	3.80333333333333	0.27883426075994	0.0777485449735424	12.8619770355869	-0.0371711839532041
"2009-2010-Habiganj"	"Short-BR1"	"2009-2010"	2009	1970	"Habiganj"	"BR1"	"Short"	6.01666666666667	6.01666666666666	0.0700528900717596	0.00490740740740604	203.773584905717	0.00171765555667847
"2009-2010-Kustia"	"Short-BR1"	"2009-2010"	2009	1970	"Kustia"	"BR1"	"Short"	5.95333333333333	5.95333333333333	0.127815999877006	0.0163369298245589	61.211011538822	-0.0119428730906348
"2009-2010-Rajshahi"	"Short-BR1"	"2009-2010"	2009	1970	"Rajshahi"	"BR1"	"Short"	4.66	4.66	0.229875238077585	0.0528426250812262	18.9241166286282	0.0834182924088074
"2009-2010-Rangpur"	"Short-BR1"	"2009-2010"	2009	1970	"Rangpur"	"BR1"	"Short"	2.53333333333333	2.53333333333333	0.255884036648714	0.0654766402116403	15.2726223698665	-0.251003991933516
"2009-2010-Satkhira"	"Short-BR1"	"2009-2010"	2009	1970	"Satkhira"	"BR1"	"Short"	5.75666666666667	5.75666666666667	0.265448423421698	0.0704628654970653	14.1918724557355	-0.0174547656389628
"2010-2011-Barisal"	"Short-BR1"	"2010-2011"	2010	1970	"Barisal"	"BR1"	"Short"	5.26333333333333	5.26333333333333	0.277057622031829	0.0767609259259316	13.0274614061446	0.112119561001641
"2010-2011-Bhanga"	"Short-BR1"	"2010-2011"	2010	1970	"Bhanga"	"BR1"	"Short"	5.87	5.87	0.403600233087322	0.16289314814814	6.13899363704707	-0.12138385525973
"2010-2011-Comilla"	"Short-BR1"	"2010-2011"	2010	1970	"Comilla"	"BR1"	"Short"	5.59	5.59	0.0749648947823642	0.00561973544973094	177.944319433734	0.00209486439962969
"2010-2011-Gazipur"	"Short-BR1"	"2010-2011"	2010	1970	"Gazipur"	"BR1"	"Short"	2.68333333333333	2.68333333333333	0.452831801237101	0.205056640211638	4.87670137854549	-0.134136977273192
"2010-2011-Habiganj"	"Short-BR1"	"2010-2011"	2010	1970	"Habiganj"	"BR1"	"Short"	5.56666666666667	5.56666666666667	0.116416966344714	0.0135529100529063	73.7848916650602	0.0211841055164292
"2010-2011-Kustia"	"Short-BR1"	"2010-2011"	2010	1970	"Kustia"	"BR1"	"Short"	4.68333333333333	4.68333333333333	0.0652940033870905	0.00426330687831339	234.55970413174	-0.00564103004905903
"2010-2011-Rajshahi"	"Short-BR1"	"2010-2011"	2010	1970	"Rajshahi"	"BR1"	"Short"	5.62	5.62	0.218481379207548	0.0477341130604323	20.9493784609338	0.10470950157548
"2010-2011-Rangpur"	"Short-BR1"	"2010-2011"	2010	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.119805287355388	0.014353306878307	69.6703560007736	0.00656281247911927
"2010-2011-Satkhira"	"Short-BR1"	"2010-2011"	2010	1970	"Satkhira"	"BR1"	"Short"	5.33666666666667	5.33666666666667	0.351209926822144	0.123348412698416	8.10711689047008	-0.201860988602804
"2010-2011-Sonagazi"	"Short-BR1"	"2010-2011"	2010	1970	"Sonagazi"	"BR1"	"Short"	5.2	5.2	0.191871870827438	0.036814814814821	27.1629778671986	-0.0556882885957268
"2011-2012-Barisal"	"Short-BR1"	"2011-2012"	2011	1970	"Barisal"	"BR1"	"Short"	5.26333333333333	5.26333333333333	0.277057622031829	0.0767609259259316	13.0274614061446	0.102873405319121
"2011-2012-Bhanga"	"Short-BR1"	"2011-2012"	2011	1970	"Bhanga"	"BR1"	"Short"	5.87	5.87	0.403600233087322	0.16289314814814	6.13899363704707	-0.137318508907489
"2011-2012-Comilla"	"Short-BR1"	"2011-2012"	2011	1970	"Comilla"	"BR1"	"Short"	5.30333333333333	5.30333333333333	0.125025605843028	0.0156314021164161	63.97378767128	0.0180841569428862
"2011-2012-Gazipur"	"Short-BR1"	"2011-2012"	2011	1970	"Gazipur"	"BR1"	"Short"	5.20333333333333	5.20333333333333	0.187925320076699	0.0353159259259297	28.3158369427256	0.014895680147089
"2011-2012-Habiganj"	"Short-BR1"	"2011-2012"	2011	1970	"Habiganj"	"BR1"	"Short"	5.56666666666667	5.56666666666667	0.116416966344714	0.0135529100529063	73.7848916650602	0.0191774864839962
"2011-2012-Kustia"	"Short-BR1"	"2011-2012"	2011	1970	"Kustia"	"BR1"	"Short"	4.68333333333333	4.68333333333333	0.0652940033870905	0.00426330687831339	234.55970413174	-0.00629547778674144
"2011-2012-Rajshahi"	"Short-BR1"	"2011-2012"	2011	1970	"Rajshahi"	"BR1"	"Short"	6.57666666666667	6.57666666666667	0.379846425385708	0.1442833068783	6.93080870986329	0.280347931556588
"2011-2012-Rangpur"	"Short-BR1"	"2011-2012"	2011	1970	"Rangpur"	"BR1"	"Short"	2.46666666666667	2.46666666666667	0.235463238124209	0.0554429365079378	18.0365626892225	0.00383995483388899
"2011-2012-Satkhira"	"Short-BR1"	"2011-2012"	2011	1970	"Satkhira"	"BR1"	"Short"	6.41666666666667	6.41666666666667	0.0939814515078146	0.00883251322751571	113.21805857983	0.0117089821256879
"2011-2012-Sonagazi"	"Short-BR1"	"2011-2012"	2011	1970	"Sonagazi"	"BR1"	"Short"	5.2	5.2	0.191871870827438	0.036814814814821	27.1629778671986	-0.0607040508159011
"2012-2013-Barisal"	"Short-BR1"	"2012-2013"	2012	1970	"Barisal"	"BR1"	"Short"	5.29	5.29	0.214560657627369	0.046036275801489	21.7220003701441	0.0513214801630868
"2012-2013-Bhanga"	"Short-BR1"	"2012-2013"	2012	1970	"Bhanga"	"BR1"	"Short"	6.84	6.84	0.387689885757495	0.15030344751866	6.65320733828048	0.028009066654751
"2012-2013-Comilla"	"Short-BR1"	"2012-2013"	2012	1970	"Comilla"	"BR1"	"Short"	5.5	5.5	0.104300643999111	0.0108786243386292	91.9233874497411	0.0210582138271844
"2012-2013-Gazipur"	"Short-BR1"	"2012-2013"	2012	1970	"Gazipur"	"BR1"	"Short"	6.36333333333333	6.36333333333333	0.357822214143497	0.128036736934554	7.81025839881523	0.128553485909327
"2012-2013-Habiganj"	"Short-BR1"	"2012-2013"	2012	1970	"Habiganj"	"BR1"	"Short"	5.86666666666667	5.86666666666667	0.083175883002435	0.00691822751323476	144.545694411896	0.0152999307945709
"2012-2013-Kustia"	"Short-BR1"	"2012-2013"	2012	1970	"Kustia"	"BR1"	"Short"	6.35666666666667	6.35666666666667	0.0761059578507512	0.00579211682038031	172.648451509364	0.00658256122467726
"2012-2013-Rajshahi"	"Short-BR1"	"2012-2013"	2012	1970	"Rajshahi"	"BR1"	"Short"	4.90666666666667	4.90666666666667	0.330920184701595	0.109508168642937	9.13173886836335	-0.0121134353279233
"2012-2013-Rangpur"	"Short-BR1"	"2012-2013"	2012	1970	"Rangpur"	"BR1"	"Short"	6.25	6.25	0.175155492749514	0.0306794466403251	32.5951120215317	0.171926607713889
"2012-2013-Satkhira"	"Short-BR1"	"2012-2013"	2012	1970	"Satkhira"	"BR1"	"Short"	6.8	6.8	0.133432110973701	0.0178041282388981	56.1667488900254	0.00722243426482372
"2012-2013-Sonagazi"	"Short-BR1"	"2012-2013"	2012	1970	"Sonagazi"	"BR1"	"Short"	4.01333333333333	4.01333333333333	0.698452426948109	0.487835792709703	2.04987008937057	-0.302591328386587
"2013-2014-Barisal"	"Short-BR1"	"2013-2014"	2013	1970	"Barisal"	"BR1"	"Short"	4.64666666666667	4.64666666666667	0.0917261811463272	0.00841369230768883	118.853882864976	-0.00607994938319134
"2013-2014-Bhanga"	"Short-BR1"	"2013-2014"	2013	1970	"Bhanga"	"BR1"	"Short"	5.76666666666667	5.76666666666667	0.0735660642685235	0.00541196581196052	184.775742261709	-0.00263358141893555
"2013-2014-Comilla"	"Short-BR1"	"2013-2014"	2013	1970	"Comilla"	"BR1"	"Short"	5.18	5.18	0.0732732854386909	0.00536897435897987	186.255313052008	0.00654099768937844
"2013-2014-Gazipur"	"Short-BR1"	"2013-2014"	2013	1970	"Gazipur"	"BR1"	"Short"	6.70666666666667	6.70666666666667	0.24528249891402	0.0601635042735061	16.6213722434444	0.128575364746774
"2013-2014-Habiganj"	"Short-BR1"	"2013-2014"	2013	1970	"Habiganj"	"BR1"	"Short"	5.79666666666667	5.79666666666667	0.103272107585416	0.0106651282051338	93.7635235850836	0.0168083269562045
"2013-2014-Kustia"	"Short-BR1"	"2013-2014"	2013	1970	"Kustia"	"BR1"	"Short"	5.98666666666667	5.98666666666667	0.462568515026205	0.213969631093548	4.67356042485673	0.182427658046821
"2013-2014-Rajshahi"	"Short-BR1"	"2013-2014"	2013	1970	"Rajshahi"	"BR1"	"Short"	5.07	5.07	0.219782409879192	0.0483043076923052	20.702087407399	0.131428091568867
"2013-2014-Rangpur"	"Short-BR1"	"2013-2014"	2013	1970	"Rangpur"	"BR1"	"Short"	5.66666666666667	5.66666666666667	0.24339830534071	0.0592427350427296	16.8797068413323	-0.0726574174069183
"2013-2014-Satkhira"	"Short-BR1"	"2013-2014"	2013	1970	"Satkhira"	"BR1"	"Short"	6.02666666666667	6.02666666666667	0.140844643757716	0.0198372136752379	50.4103054174522	0.0319332388224316
"2013-2014-Sonagazi"	"Short-BR1"	"2013-2014"	2013	1970	"Sonagazi"	"BR1"	"Short"	5.20333333333333	5.20333333333333	0.107964966096709	0.0116564339042635	85.7895311905157	0.0386412173418131
"2014-2015-Barisal"	"Short-BR1"	"2014-2015"	2014	1970	"Barisal"	"BR1"	"Short"	4.11666666666667	4.11666666666667	0.0927519710939973	0.00860292814182171	116.239492358266	-0.0276775124893316
"2014-2015-Bhanga"	"Short-BR1"	"2014-2015"	2014	1970	"Bhanga"	"BR1"	"Short"	7.47333333333333	7.47333333333333	0.182357022268893	0.0332540835707777	30.0714947645936	0.141566709667022
"2014-2015-Comilla"	"Short-BR1"	"2014-2015"	2014	1970	"Comilla"	"BR1"	"Short"	4.75	4.75	0.0864836624358532	0.0074794238683186	133.700137551477	-0.0320326437937473
"2014-2015-Gazipur"	"Short-BR1"	"2014-2015"	2014	1970	"Gazipur"	"BR1"	"Short"	6.4	6.4	0.254951206268758	0.0650001175778946	15.3845875555782	0.00990411405600788
"2014-2015-Habiganj"	"Short-BR1"	"2014-2015"	2014	1970	"Habiganj"	"BR1"	"Short"	5.80333333333333	5.80333333333333	0.105501560638909	0.0111305792972454	89.842583507534	0.0120656493568347
"2014-2015-Kustia"	"Short-BR1"	"2014-2015"	2014	1970	"Kustia"	"BR1"	"Short"	5.61666666666667	5.61666666666667	0.339059620016796	0.114961425925934	8.6985699067813	-0.164535822520031
"2014-2015-Rajshahi"	"Short-BR1"	"2014-2015"	2014	1970	"Rajshahi"	"BR1"	"Short"	5.23	5.23	0.308255745993917	0.0950216049382666	10.5239224347945	-0.000242588021346357
"2014-2015-Rangpur"	"Short-BR1"	"2014-2015"	2014	1970	"Rangpur"	"BR1"	"Short"	2.88333333333333	2.88333333333333	0.194373450613147	0.0377810383032613	26.468303808201	0.0303943742017752
"2014-2015-Satkhira"	"Short-BR1"	"2014-2015"	2014	1970	"Satkhira"	"BR1"	"Short"	5.88	5.88	0.0921998222203474	0.00850080721746367	117.6358873244	0.00324574952921175
"2014-2015-Sonagazi"	"Short-BR1"	"2014-2015"	2014	1970	"Sonagazi"	"BR1"	"Short"	5.19	5.19	0.0951401392186235	0.00905164609053906	110.477143051938	0.00709555809209217
"2015-2016-Barisal"	"Short-BR1"	"2015-2016"	2015	1970	"Barisal"	"BR1"	"Short"	4.64666666666667	4.64666666666667	0.278782748369645	0.0777198207885329	12.8667306467534	0.0316547451437463
"2015-2016-Bhanga"	"Short-BR1"	"2015-2016"	2015	1970	"Bhanga"	"BR1"	"Short"	6.76666666666667	6.76666666666667	0.386547395397856	0.149418888888866	6.69259427262756	0.330835003845426
"2015-2016-Comilla"	"Short-BR1"	"2015-2016"	2015	1970	"Comilla"	"BR1"	"Short"	5.16	5.16	0.440329747732719	0.19389028673836	5.15755593960941	-0.206870939715983
"2015-2016-Gazipur"	"Short-BR1"	"2015-2016"	2015	1970	"Gazipur"	"BR1"	"Short"	5.88666666666667	5.88666666666667	0.372158369315858	0.138501851851839	7.2201200679233	-0.161026596133624
"2015-2016-Habiganj"	"Short-BR1"	"2015-2016"	2015	1970	"Habiganj"	"BR1"	"Short"	6.23333333333333	6.23333333333333	0.289156892504162	0.0836117084826632	11.9600474400945	0.0676239444139286
"2015-2016-Kustia"	"Short-BR1"	"2015-2016"	2015	1970	"Kustia"	"BR1"	"Short"	6.60666666666667	6.60666666666667	0.277175655651861	0.0768263440860393	13.0163684332041	-0.0277633903068821
"2015-2016-Rajshahi"	"Short-BR1"	"2015-2016"	2015	1970	"Rajshahi"	"BR1"	"Short"	6.05	6.05	0.442226027072499	0.195563859020327	5.11341924325629	0.24772622358671
